antecedent,consequent,support,confidence,lift
HAS_STATE_TITLES,MANY_REGIONAL_TITLES,0.385,0.833,2.167
MANY_REGIONAL_TITLES,HAS_STATE_TITLES,0.385,1.0,2.167
HIGH_ATHLETES,MANY_REGIONAL_TITLES,0.385,0.714,1.857
CLUSTER:High_Access_Zone,HIGH_FACILITIES,0.231,1.0,1.857
HIGH_ATHLETES,HAS_STATE_TITLES,0.462,0.857,1.857
HAS_STATE_TITLES,HIGH_ATHLETES,0.462,1.0,1.857
MANY_REGIONAL_TITLES,HIGH_ATHLETES,0.385,1.0,1.857
NO_TITLES,HIGH_ACRES,0.231,1.0,1.857
HIGH_FACILITIES,LOW_ATHLETES,0.385,0.714,1.548
HIGH_ATHLETES,LOW_FACILITIES,0.385,0.714,1.548
LOW_FACILITIES,HIGH_PARTICIPATION,0.385,0.833,1.548
LOW_ATHLETES,HIGH_FACILITIES,0.385,0.833,1.548
HIGH_FACILITIES,LOW_PARTICIPATION,0.385,0.714,1.548
LOW_FACILITIES,HIGH_ATHLETES,0.385,0.833,1.548
LOW_PARTICIPATION,HIGH_FACILITIES,0.385,0.833,1.548
HIGH_PARTICIPATION,LOW_FACILITIES,0.385,0.714,1.548
LOW_ATHLETES,LOW_PARTICIPATION,0.308,0.667,1.444
HAS_STATE_TITLES,LOW_FACILITIES,0.308,0.667,1.444
LOW_ACRES,CLUSTER:Mid_Access_Zone,0.308,0.667,1.444
LOW_FACILITIES,HAS_STATE_TITLES,0.308,0.667,1.444
CLUSTER:Mid_Access_Zone,LOW_ACRES,0.308,0.667,1.444
LOW_PARTICIPATION,LOW_ATHLETES,0.308,0.667,1.444
HIGH_PARTICIPATION,HIGH_ATHLETES,0.385,0.714,1.327
HIGH_ATHLETES,HIGH_PARTICIPATION,0.385,0.714,1.327
MANY_REGIONAL_TITLES,LOW_FACILITIES,0.231,0.6,1.3
HAS_TITLES,MANY_REGIONAL_TITLES,0.385,0.5,1.3
HAS_STATE_TITLES,HAS_TITLES,0.462,1.0,1.3
LOW_ACRES,HAS_TITLES,0.462,1.0,1.3
MANY_REGIONAL_TITLES,HAS_TITLES,0.385,1.0,1.3
HAS_TITLES,LOW_ACRES,0.462,0.6,1.3
CLUSTER:Mid_Access_Zone,HAS_TITLES,0.462,1.0,1.3
HAS_TITLES,HAS_STATE_TITLES,0.462,0.6,1.3
HAS_TITLES,CLUSTER:Mid_Access_Zone,0.462,0.6,1.3
LOW_FACILITIES,MANY_REGIONAL_TITLES,0.231,0.5,1.3
HAS_STATE_TITLES,HIGH_PARTICIPATION,0.308,0.667,1.238
HIGH_PARTICIPATION,HAS_STATE_TITLES,0.308,0.571,1.238
LOW_ACRES,HIGH_FACILITIES,0.308,0.667,1.238
HIGH_ACRES,LOW_FACILITIES,0.308,0.571,1.238
LOW_FACILITIES,HIGH_ACRES,0.308,0.667,1.238
HIGH_FACILITIES,LOW_ACRES,0.308,0.571,1.238
HIGH_FACILITIES,CLUSTER:Mid_Access_Zone,0.308,0.571,1.238
CLUSTER:Mid_Access_Zone,HIGH_FACILITIES,0.308,0.667,1.238
MANY_REGIONAL_TITLES,HIGH_ACRES,0.231,0.6,1.114
HAS_TITLES,HIGH_FACILITIES,0.462,0.6,1.114
HIGH_FACILITIES,HAS_TITLES,0.462,0.857,1.114
HIGH_ATHLETES,HAS_TITLES,0.462,0.857,1.114
MANY_REGIONAL_TITLES,HIGH_PARTICIPATION,0.231,0.6,1.114
HAS_TITLES,HIGH_ATHLETES,0.462,0.6,1.114
CLUSTER:Mid_Access_Zone,HAS_STATE_TITLES,0.231,0.5,1.083
HAS_STATE_TITLES,CLUSTER:Mid_Access_Zone,0.231,0.5,1.083
HAS_TITLES,LOW_PARTICIPATION,0.385,0.5,1.083
LOW_PARTICIPATION,HAS_TITLES,0.385,0.833,1.083
HAS_STATE_TITLES,LOW_ACRES,0.231,0.5,1.083
LOW_ACRES,HAS_STATE_TITLES,0.231,0.5,1.083
LOW_ATHLETES,CLUSTER:Mid_Access_Zone,0.231,0.5,1.083
CLUSTER:Mid_Access_Zone,LOW_PARTICIPATION,0.231,0.5,1.083
CLUSTER:Mid_Access_Zone,LOW_ATHLETES,0.231,0.5,1.083
LOW_PARTICIPATION,CLUSTER:Mid_Access_Zone,0.231,0.5,1.083
LOW_PARTICIPATION,LOW_ACRES,0.231,0.5,1.083
LOW_ACRES,LOW_PARTICIPATION,0.231,0.5,1.083
LOW_ACRES,LOW_ATHLETES,0.231,0.5,1.083
LOW_ATHLETES,LOW_ACRES,0.231,0.5,1.083
HIGH_ACRES,HIGH_PARTICIPATION,0.308,0.571,1.061
HIGH_ATHLETES,HIGH_ACRES,0.308,0.571,1.061
HIGH_ACRES,HIGH_ATHLETES,0.308,0.571,1.061
HIGH_PARTICIPATION,HIGH_ACRES,0.308,0.571,1.061
