School,State,regional,athletes,participation
Academy (The)- SF @McAteer,,,182,57.4
Balboa High,2,6,323,25.2
Burton (Phillip and Sala) Academic High,,,228,21.6
Galileo High,1,18,346,18.9
Jordan (June) School for Equity,,,13,6.5
Lincoln (Abraham) High,3,58,404,20.2
Lowell High,3,336,505,19.1
Marshall (Thurgood) High,,2,54,11.7
Mission High,1,19,186,17.7
O'Connell (John) High,,1,67,13.1
S.F. International High,,1,104,25.6
Wallenberg (Raoul) Traditional High,,2,87,15.8
Washington (George) High,1,48,398,19.5
