school_name,neighborhood,latitude,longitude,n_facilities,total_acres,state_titles,regional_titles,athletes,participation_pct,total_titles,cluster,cluster_label
Academy (The)- SF @McAteer,Glen Park,37.745874,-122.449984,26,244.13,0,0,182,57.4,0,1,High Access Zone
Balboa High,Outer Mission,37.722073,-122.439853,13,95.43,2,6,323,25.2,8,2,Mid Access Zone
Burton (Phillip and Sala) Academic High,Portola,37.720698,-122.405071,13,374.08,0,0,228,21.6,0,0,Zone 4
Galileo High,Russian Hill,37.803401,-122.424082,20,208.32,1,18,346,18.9,19,2,Mid Access Zone
Jordan (June) School for Equity,McLaren Park,37.719997,-122.425502,7,372.54,0,0,13,6.5,0,0,Zone 4
Lincoln (Abraham) High,Sunset/Parkside,37.747259,-122.481322,15,132.89,3,58,404,20.2,61,2,Mid Access Zone
Lowell High,Lakeshore,37.731044,-122.483559,11,713.0,3,336,505,19.1,339,3,Low Access Zone
Marshall (Thurgood) High,Bayview Hunters Point,37.735717,-122.401881,17,67.17,0,2,54,11.7,2,2,Mid Access Zone
Mission High,Castro/Upper Market,37.761403,-122.427287,28,93.03,1,19,186,17.7,20,1,High Access Zone
O'Connell (John) High,Mission,37.759631,-122.414687,28,62.69,0,1,67,13.1,1,1,High Access Zone
S.F. International High,Potrero Hill,37.76172,-122.400623,20,69.16,0,1,104,25.6,1,2,Mid Access Zone
Wallenberg (Raoul) Traditional High,Lone Mountain/USF,37.780171,-122.445755,20,222.02,0,2,87,15.8,2,2,Mid Access Zone
Washington (George) High,Outer Richmond,37.777781,-122.492032,12,799.35,1,48,398,19.5,49,3,Low Access Zone
